field,value,source_type,source_url,accessed_date,note,in_spec
weight,254 g,official,https://www.sony-mea.com/en/electronics/headband-headphones/wh-1000xm4/specifications,2026-08-13,official spec page reached only via search-index snapshot; direct fetch blocked (403); one review measured 251 g,yes
driver,40 mm driver with liquid crystal polymer diaphragm,official,https://www.sony-mea.com/en/electronics/headband-headphones/wh-1000xm4/specifications,2026-08-13,official spec page reached only via search-index snapshot; direct fetch blocked (403),yes
bluetooth,Bluetooth 5.0,official,https://www.sony-mea.com/en/electronics/headband-headphones/wh-1000xm4/specifications,2026-08-13,official spec page reached only via search-index snapshot; direct fetch blocked (403),yes
frequency,20 Hz to 20 kHz on standard codecs,official,https://www.sony-mea.com/en/electronics/headband-headphones/wh-1000xm4/specifications,2026-08-13,official spec page reached only via search-index snapshot; direct fetch blocked (403),yes
battery_nc_on,up to 30 hours with noise canceling on,official,https://helpguide.sony.net/mdr/wh1000xm4/v1/en/contents/TP0002752809.html,2026-08-13,conditional: holds only with AAC or SBC and DSEE Extreme off,yes
battery_nc_off,up to 38 hours with noise canceling off,official,https://helpguide.sony.net/mdr/wh1000xm4/v1/en/contents/TP0002752809.html,2026-08-13,,yes
quickcharge,about 5 hours of playback from a 10 minute charge,official,https://helpguide.sony.net/mdr/wh1000xm4/v1/en/contents/TP0002752809.html,2026-08-13,,yes
wired,up to 36 hours of wired operation with the supplied cable,official,https://helpguide.sony.net/mdr/wh1000xm4/v1/en/contents/TP0002752809.html,2026-08-13,,yes
talk,up to 24 hours of talk time with noise canceling on,official,https://helpguide.sony.net/mdr/wh1000xm4/v1/en/contents/TP0002752809.html,2026-08-13,,yes
box,"headset, USB-C cable, 3.5 mm cable, carrying case, in-flight plug adaptor",official,https://helpguide.sony.net/mdr/wh1000xm4/v1/en/contents/TP0002752809.html,2026-08-13,,yes
no_aptx,no aptX or aptX HD codec support,review_consensus,https://m.gsmarena.com/sony_wh1000xm4_wireless_noisecanceling_headphones_review-news-45351.php;https://www.trustedreviews.com/reviews/sony-wh-1000xm4,2026-08-13,con,yes
no_ip,no IP water resistance rating,review_consensus,https://m.gsmarena.com/sony_wh1000xm4_wireless_noisecanceling_headphones_review-news-45351.php;https://www.trustedreviews.com/reviews/sony-wh-1000xm4,2026-08-13,con,yes
touch_controls,"touch gesture panel on the right cup, registering inconsistently",review_consensus,https://www.soundguys.com/sony-wh-1000xm4-review-38011/;https://m.gsmarena.com/sony_wh1000xm4_wireless_noisecanceling_headphones_review-news-45351.php,2026-08-13,con,yes
speak_to_chat,"speak-to-chat pauses playback, triggering on sounds other than speech",review_consensus,https://www.soundguys.com/sony-wh-1000xm4-review-38011/;https://m.gsmarena.com/sony_wh1000xm4_wireless_noisecanceling_headphones_review-news-45351.php,2026-08-13,con,yes
anc_quality,"active noise canceling with dual sensors per cup, rated among the strongest in class",review_consensus,https://www.soundguys.com/sony-wh-1000xm4-review-38011/;https://m.gsmarena.com/sony_wh1000xm4_wireless_noisecanceling_headphones_review-news-45351.php;https://www.trustedreviews.com/reviews/sony-wh-1000xm4,2026-08-13,,yes
comfort,"padded earcups and headband, comfortable across long sessions",review_consensus,https://m.gsmarena.com/sony_wh1000xm4_wireless_noisecanceling_headphones_review-news-45351.php;https://www.trustedreviews.com/reviews/sony-wh-1000xm4,2026-08-13,,yes
sound_quality,consumer tuning satisfying across genres,review_consensus,https://www.trustedreviews.com/reviews/sony-wh-1000xm4;https://m.gsmarena.com/sony_wh1000xm4_wireless_noisecanceling_headphones_review-news-45351.php;https://www.soundguys.com/sony-wh-1000xm4-review-38011/,2026-08-13,,yes
ldac,LDAC at up to 990 kbps,official,https://www.sony-mea.com/en/electronics/headband-headphones/wh-1000xm4/specifications,2026-08-13,official spec page reached only via search-index snapshot; direct fetch blocked (403),yes
multipoint,multipoint pairing to two devices at once,official,https://www.sony-mea.com/en/electronics/headband-headphones/wh-1000xm4/specifications,2026-08-13,official spec page reached only via search-index snapshot; direct fetch blocked (403),yes
multipoint_codec,"multipoint falls back to AAC or SBC, so LDAC is unavailable",review_consensus,https://www.soundguys.com/sony-wh-1000xm4-review-38011/;https://m.gsmarena.com/sony_wh1000xm4_wireless_noisecanceling_headphones_review-news-45351.php,2026-08-13,con,yes
battery_dsee,16 to 18 hours with LDAC or DSEE Extreme active,official,https://helpguide.sony.net/mdr/wh1000xm4/v1/en/contents/TP0002752809.html,2026-08-13,con; the 30 h rating does not hold under these conditions,yes
frequency_ldac,to 40 kHz over LDAC at a 96 kHz sampling rate,official,https://www.sony-mea.com/en/electronics/headband-headphones/wh-1000xm4/specifications,2026-08-13,official spec page reached only via search-index snapshot; direct fetch blocked (403),yes
case_hard,hard carrying case included in the box,official,https://helpguide.sony.net/mdr/wh1000xm4/v1/en/contents/TP0002752809.html,2026-08-13,,yes
flight_adaptor,in-flight plug adaptor included in the box,official,https://helpguide.sony.net/mdr/wh1000xm4/v1/en/contents/TP0002752809.html,2026-08-13,,yes
