field,value,source_type,source_url,accessed_date,note
resolution,1920 x 1080 pixels,difference_point,derived-from:c11_projector_real,2026-08-13,diff: 1080p
display_tech,DLP with a 0.33 inch DMD,mirror,derived-from:c11_projector_real,2026-08-13,
brightness,350 ISO lumens,mirror,derived-from:c11_projector_real,2026-08-13,
color,85 percent DCI-P3 coverage,mirror,derived-from:c11_projector_real,2026-08-13,
dimensions,168 x 124 x 112 mm,mirror,derived-from:c11_projector_real,2026-08-13,
weight,1.3 kg,mirror,derived-from:c11_projector_real,2026-08-13,
battery,internal battery giving about 2 hours of playback,difference_point,derived-from:c11_projector_real,2026-08-13,diff: internal battery
power,"60 W adapter, AC 100-240 V",mirror,derived-from:c11_projector_real,2026-08-13,
speakers,two 6 watt speakers,mirror,derived-from:c11_projector_real,2026-08-13,
ports,"USB-C, USB-A, HDMI 2.0, 3.5 mm auxiliary",mirror,derived-from:c11_projector_real,2026-08-13,
wireless,dual-band Wi-Fi and Bluetooth 5.0,mirror,derived-from:c11_projector_real,2026-08-13,
os,Android TV with 2 GB memory and 32 GB storage,mirror,derived-from:c11_projector_real,2026-08-13,
focus,manual focus ring with digital keystone correction,difference_point,derived-from:c11_projector_real,2026-08-13,diff: manual focus
throw,"1.2 to 1 throw ratio, 40 to 150 inch image",mirror,derived-from:c11_projector_real,2026-08-13,
manual_setup,focus adjusted by hand after each move,spec_derived,derived-from:spec,2026-08-13,con
battery_life,two hours falls short of long films,spec_derived,derived-from:spec,2026-08-13,con
bright_limit,350 lumens needs a darkened room,spec_derived,derived-from:spec,2026-08-13,con
speaker_power,6 watt speakers in a small cabinet,spec_derived,derived-from:spec,2026-08-13,con
weight_carry,1.3 kilograms with the battery inside,spec_derived,derived-from:spec,2026-08-13,con
image_cap,image tops out at 150 inches,spec_derived,derived-from:spec,2026-08-13,con
