field,value,source_type,source_url,accessed_date,note
tank,1.1 gallon tank,official,https://www.honeywellstore.com/store/products/germ-free-cool-mist-humidifier-hcm-350.htm,2026-08-13,
runtime,up to 24 hours on low per fill,official,https://www.honeywellstore.com/store/products/germ-free-cool-mist-humidifier-hcm-350.htm,2026-08-13,
dimensions,17.9 x 9.37 x 11.4 in,official,https://www.honeywellstore.com/store/products/germ-free-cool-mist-humidifier-hcm-350.htm,2026-08-13,
weight,8.36 lb,official,https://www.honeywellstore.com/store/products/germ-free-cool-mist-humidifier-hcm-350.htm,2026-08-13,
power,"120 V 60 Hz, 60 watts",official,https://www.honeywellstore.com/store/products/germ-free-cool-mist-humidifier-hcm-350.htm,2026-08-13,
type,evaporative cool mist with QuietCare operation,official,https://www.honeywellstore.com/store/products/germ-free-cool-mist-humidifier-hcm-350.htm,2026-08-13,
speeds,three speed settings for output and sound,official,https://www.honeywellstore.com/store/products/germ-free-cool-mist-humidifier-hcm-350.htm,2026-08-13,
filter,"Replacement Filter A wicking filter, captures minerals",official,https://www.honeywellstore.com/store/products/germ-free-cool-mist-humidifier-hcm-350.htm,2026-08-13,
germ,inhibits up to 99.99 percent of mold growth on the filter,official,https://www.honeywellstore.com/store/products/germ-free-cool-mist-humidifier-hcm-350.htm,2026-08-13,
tank_features,"wide opening, removable, dishwasher safe, break resistant",official,https://www.honeywellstore.com/store/products/germ-free-cool-mist-humidifier-hcm-350.htm,2026-08-13,
warranty,three year limited warranty,official,https://www.honeywellstore.com/store/products/germ-free-cool-mist-humidifier-hcm-350.htm,2026-08-13,
noise_high,fan noise higher than comparable units,review_consensus,https://www.techgearlab.com/reviews/health-fitness/humidifier/honeywell-hcm-350;https://www.babygearlab.com/reviews/health-safety/humidifier/honeywell-hcm-350,2026-08-13,con; both sources share one publisher
filter_cost,wick replacement adds recurring cost,review_consensus,https://www.techgearlab.com/reviews/health-fitness/humidifier/honeywell-hcm-350;https://www.babygearlab.com/reviews/health-safety/humidifier/honeywell-hcm-350,2026-08-13,con; same publisher caveat
wick_mold,wick can grow mold without drying between uses,review_consensus,https://www.techgearlab.com/reviews/health-fitness/humidifier/honeywell-hcm-350;https://www.babygearlab.com/reviews/health-safety/humidifier/honeywell-hcm-350,2026-08-13,con; same publisher caveat
basic_controls,single dial with no humidistat,review_consensus,https://www.techgearlab.com/reviews/health-fitness/humidifier/honeywell-hcm-350;https://www.babygearlab.com/reviews/health-safety/humidifier/honeywell-hcm-350,2026-08-13,con; same publisher caveat
clean_ease,wide tank opening and dishwasher-safe parts simplify cleaning,review_consensus,https://www.techgearlab.com/reviews/health-fitness/humidifier/honeywell-hcm-350;https://www.babygearlab.com/reviews/health-safety/humidifier/honeywell-hcm-350,2026-08-13,
no_dust,evaporative design leaves no mineral dust and self-regulates,review_consensus,https://www.techgearlab.com/reviews/health-fitness/humidifier/honeywell-hcm-350;https://www.babygearlab.com/reviews/health-safety/humidifier/honeywell-hcm-350,2026-08-13,
