field,value,source_type,source_url,accessed_date,note,in_spec
size,"42 x 42 x 11.6 mm, fits wrists 126-203 mm",official,https://www.garmin.com/en-US/p/741137/,2026-08-13,,yes
weight,37 g,official,https://www.garmin.com/en-US/p/741137/,2026-08-13,,yes
display,"1.04 inch, 208 x 208 pixels, sunlight-visible transflective colour",official,https://www.garmin.com/en-US/p/741137/,2026-08-13,,yes
materials,"chemically strengthened glass lens, silicone band, 20 mm quick release",official,https://www.garmin.com/en-US/p/741137/,2026-08-13,,yes
battery_smart,up to 14 days in smartwatch mode,official,https://www.garmin.com/en-US/p/741137/;https://www8.garmin.com/manuals/webhelp/GUID-3A791586-B59F-4B37-B9C5-5A41F8C6BE0B/EN-US/GUID-A47987A4-F350-44DB-95A0-67FCF153891B.html,2026-08-13,,yes
battery_gps,up to 20 hours in GPS mode,official,https://www.garmin.com/en-US/p/741137/;https://www8.garmin.com/manuals/webhelp/GUID-3A791586-B59F-4B37-B9C5-5A41F8C6BE0B/EN-US/GUID-A47987A4-F350-44DB-95A0-67FCF153891B.html,2026-08-13,,yes
water,"5 ATM, rated for swimming",official,https://www.garmin.com/en-US/p/741137/,2026-08-13,,yes
memory,32 MB history memory,official,https://www.garmin.com/en-US/p/741137/,2026-08-13,,yes
sensors,"GPS, GLONASS, Galileo, wrist heart rate, accelerometer",official,https://www.garmin.com/en-US/p/741137/,2026-08-13,,yes
connectivity,"Bluetooth and ANT+, pairs with iPhone and Android",official,https://www.garmin.com/en-US/p/741137/,2026-08-13,,yes
temp,operating range -20 to 60 C,official,https://www8.garmin.com/manuals/webhelp/GUID-3A791586-B59F-4B37-B9C5-5A41F8C6BE0B/EN-US/GUID-A47987A4-F350-44DB-95A0-67FCF153891B.html,2026-08-13,,yes
features,"PacePro pacing, daily suggested workouts, track mode",official,https://www.garmin.com/en-US/p/741137/,2026-08-13,,yes
status,listed as discontinued by the maker,official,https://www.garmin.com/en-US/p/741137/,2026-08-13,knowledge-era check: model retired; D1 verification item,yes
no_altimeter,"no barometric altimeter, so no elevation data",review_consensus,https://www.dcrainmaker.com/2021/06/garmin-forerunner-55-depth-review.html;https://www.outdoorgearlab.com/reviews/camping-and-hiking/gps-watch/garmin-forerunner-55,2026-08-13,con,yes
low_res,"1.04 inch 208 x 208 display, small and low resolution against newer watches",review_consensus,https://www.dcrainmaker.com/2021/06/garmin-forerunner-55-depth-review.html;https://www.techradar.com/reviews/garmin-forerunner-55;https://www.outdoorgearlab.com/reviews/camping-and-hiking/gps-watch/garmin-forerunner-55,2026-08-13,con,yes
no_music,no onboard music storage and no contactless payment,review_consensus,https://www.dcrainmaker.com/2021/06/garmin-forerunner-55-depth-review.html;https://www.techradar.com/reviews/garmin-forerunner-55,2026-08-13,con,yes
no_sleep_widget,no sleep summary on the watch itself,review_consensus,https://www.techradar.com/reviews/garmin-forerunner-55;https://www.dcrainmaker.com/2021/06/garmin-forerunner-55-depth-review.html,2026-08-13,con,yes
gps_accuracy,GPS traces accurate across independent test routes,review_consensus,https://www.dcrainmaker.com/2021/06/garmin-forerunner-55-depth-review.html;https://www.outdoorgearlab.com/reviews/camping-and-hiking/gps-watch/garmin-forerunner-55,2026-08-13,,yes
hr_accuracy,wrist heart rate close to chest strap readings,review_consensus,https://www.dcrainmaker.com/2021/06/garmin-forerunner-55-depth-review.html;https://www.outdoorgearlab.com/reviews/camping-and-hiking/gps-watch/garmin-forerunner-55,2026-08-13,,yes
beginner_features,PacePro pacing and daily suggested workouts for new runners,review_consensus,https://www.dcrainmaker.com/2021/06/garmin-forerunner-55-depth-review.html;https://www.techradar.com/reviews/garmin-forerunner-55,2026-08-13,,yes
