field,value,source_type,source_url,accessed_date,note
tank,1.3 gallon reservoir,mirror,derived-from:c08_humidifier_real,2026-08-13,
runtime,up to 30 hours on low per fill,mirror,derived-from:c08_humidifier_real,2026-08-13,
dimensions,10.6 x 9.1 x 13.8 in,mirror,derived-from:c08_humidifier_real,2026-08-13,
weight,6.2 lb,mirror,derived-from:c08_humidifier_real,2026-08-13,
power,"120 V 60 Hz, 34 watts",mirror,derived-from:c08_humidifier_real,2026-08-13,
type,ultrasonic cool mist with an adjustable nozzle,difference_point,derived-from:c08_humidifier_real,2026-08-13,diff: ultrasonic
humidistat,built-in humidistat cycles output to a target level,difference_point,derived-from:c08_humidifier_real,2026-08-13,diff: humidistat
fill,top-fill opening under a lift-off cap,difference_point,derived-from:c08_humidifier_real,2026-08-13,diff: top fill
cartridge,replaceable mineral cartridge in the reservoir,mirror,derived-from:c08_humidifier_real,2026-08-13,
controls,dial with target and current humidity readout,mirror,derived-from:c08_humidifier_real,2026-08-13,
warranty,two year limited warranty,mirror,derived-from:c08_humidifier_real,2026-08-13,
accessories,one mineral cartridge and a cleaning brush,mirror,derived-from:c08_humidifier_real,2026-08-13,
white_dust,ultrasonic mist deposits mineral dust with hard water,spec_derived,derived-from:spec,2026-08-13,con
cartridge_cost,mineral cartridge is a recurring purchase,spec_derived,derived-from:spec,2026-08-13,con
no_removable_tank,reservoir does not lift out for sink washing,spec_derived,derived-from:spec,2026-08-13,con
nozzle_clean,nozzle and reservoir need frequent wiping,spec_derived,derived-from:spec,2026-08-13,con
surface_damp,mist can settle on nearby surfaces,spec_derived,derived-from:spec,2026-08-13,con
