field,value,source_type,source_url,accessed_date,note,in_spec
storage,"encrypted vault file stored locally, synced by the user's own file service",difference_point,derived-from:c19_passwordmgr_real,2026-08-13,diff: user-managed sync,yes
unlock,master password plus a hardware security key required to unlock,difference_point,derived-from:c19_passwordmgr_real,2026-08-13,diff: hardware key required,yes
free_tier,free tier: unlimited entries on one device,mirror,derived-from:c19_passwordmgr_real,2026-08-13,,yes
paid_tier,paid tier adds multi-device vault sharing and audit reports,mirror,derived-from:c19_passwordmgr_real,2026-08-13,,yes
desktop,"desktop clients for Windows, macOS, and Linux",mirror,derived-from:c19_passwordmgr_real,2026-08-13,,yes
mobile,clients for iOS and Android,mirror,derived-from:c19_passwordmgr_real,2026-08-13,,yes
no_extensions,no browser extensions,difference_point,derived-from:c19_passwordmgr_real,2026-08-13,diff: no extensions,yes
cli,command line interface available,mirror,derived-from:c19_passwordmgr_real,2026-08-13,,yes
authenticator,authenticator codes generated within the vault,mirror,derived-from:c19_passwordmgr_real,2026-08-13,,yes
export,vault export as encrypted archive or plain CSV,mirror,derived-from:c19_passwordmgr_real,2026-08-13,,yes
no_autofill,no browser autofill without an extension,spec_derived,derived-from:spec,2026-08-13,con,no
key_dependency,unlocking depends on the hardware key being present,spec_derived,derived-from:spec,2026-08-13,con,premise
sync_setup,the user configures and maintains their own sync,spec_derived,derived-from:spec,2026-08-13,con,premise
no_web_vault,no web vault for machines without a client,spec_derived,derived-from:spec,2026-08-13,con,yes
free_one_device,free tier covers one device only,spec_derived,derived-from:spec,2026-08-13,con,yes
recovery_risk,losing the key and password locks the vault permanently,spec_derived,derived-from:spec,2026-08-13,con,premise
