field,value,source_type,source_url,accessed_date,note,in_spec
volume,22 L in large/extra-large; 20 L in small/medium,official,https://www.outdoorsports.com/products/osprey-packs-mens-talon-22-backpack,2026-08-13,official specs mirrored by an authorized retailer; osprey.com blocked automated access,yes
weight,2.04 lb large/extra-large; 1.91 lb small/medium,official,https://www.outdoorsports.com/products/osprey-packs-mens-talon-22-backpack,2026-08-13,one review measured 38.4 oz; discrepancy recorded,yes
dimensions,22.05 x 9.84 x 9.06 in in large/extra-large,official,https://www.outdoorsports.com/products/osprey-packs-mens-talon-22-backpack,2026-08-13,same source caveat,yes
main_fabric,bluesign approved recycled 100D by 210D nylon with PFC-free water repellent finish,official,https://www.outdoorsports.com/products/osprey-packs-mens-talon-22-backpack,2026-08-13,same source caveat,yes
bottom_fabric,heavier recycled 420 denier packcloth base with PFC-free finish,official,https://www.outdoorsports.com/products/osprey-packs-mens-talon-22-backpack,2026-08-13,official specs mirrored by an authorized retailer sheet; osprey.com blocks automated access,yes
suspension,AirScape backpanel with injection-molded framesheet holding the pack shape under load,official,https://www.outdoorsports.com/products/osprey-packs-mens-talon-22-backpack,2026-08-13,official specs mirrored by an authorized retailer sheet; osprey.com blocks automated access,yes
attachments,"helmet attachment, trekking pole attachment, ice axe loop, compression straps",official,https://www.outdoorsports.com/products/osprey-packs-mens-talon-22-backpack,2026-08-13,same source caveat,yes
pockets,"dual zippered hipbelt pockets, external hydration sleeve, front stretch mesh pocket",official,https://www.outdoorsports.com/products/osprey-packs-mens-talon-22-backpack,2026-08-13,same source caveat,yes
load_range,designed for loads of 10 to 20 pounds; loads beyond 20 pounds sit outside that range,official,https://www.outdoorsports.com/products/osprey-packs-mens-talon-22-backpack,2026-08-13,official specs mirrored by an authorized retailer sheet; osprey.com blocks automated access,yes
heavy,"2.04 pounds, heavy for 22 litres",review_consensus,https://www.outdoorgearlab.com/reviews/camping-and-hiking/daypack/osprey-talon-22;https://www.cleverhiker.com/hiking/osprey-talon-tempest-22-daypack-review/,2026-08-13,con,yes
