field,value,source_type,source_url,accessed_date,note,in_spec
dimensions,13.34 in diameter x 3.63 in high,official,https://store.irobot.com/default/roomba-vacuuming-robot-vacuum-irobot-roomba-i7-plus/i755020.html,2026-08-13,archived store listing; official product page retired,yes
weight,7.44 lb,official,https://store.irobot.com/default/roomba-vacuuming-robot-vacuum-irobot-roomba-i7-plus/i755020.html,2026-08-13,archived store listing,yes
battery,Li-ion; runtime 75 min per charge; charge time 1.5 h,official,https://www.manua.ls/irobot/roomba-i7/specifications,2026-08-13,batch discrepancy: some listings claim 120 min runtime; 75 min taken; verify before freeze; also grounds runtime/recharge cons,yes
dustbin,0.4 L dustbin,official,https://store.irobot.com/default/roomba-vacuuming-robot-vacuum-irobot-roomba-i7-plus/i755020.html,2026-08-13,batch discrepancy: 0.4 vs 0.3 L across listings; 0.4 taken; verify before freeze; also grounds frequent-emptying con,yes
threshold,crosses thresholds up to 20 mm,official,https://www.manua.ls/irobot/roomba-i7/specifications,2026-08-13,,yes
nav,camera-based vSLAM navigation; cleans in orderly rows,official,https://store.irobot.com/default/roomba-vacuuming-robot-vacuum-irobot-roomba-i7-plus/i755020.html,2026-08-13,,yes
mapping,Imprint Smart Mapping; stores up to 10 floor plans; room-specific cleaning,official,https://store.irobot.com/default/roomba-vacuuming-robot-vacuum-irobot-roomba-i7-plus/i755020.html,2026-08-13,room targeting also praised in 3 review sources per batch2,yes
cleanbase,Clean Base self-emptying dock (i7+ configuration); holds up to 60 days of debris,official,https://store.irobot.com/default/roomba-vacuuming-robot-vacuum-irobot-roomba-i7-plus/i755020.html,2026-08-13,self-empty convenience praised in 2 review sources per batch2,yes
app,iRobot Home app scheduling and control,official,https://store.irobot.com/default/roomba-vacuuming-robot-vacuum-irobot-roomba-i7-plus/i755020.html,2026-08-13,,yes
recharge,1.5 hour recharge at the dock,official,https://store.irobot.com/default/roomba-vacuuming-robot-vacuum-irobot-roomba-i7-plus/i755020.html,2026-08-13,,yes
voice,Alexa and Google Assistant voice control,review_consensus,"https://www.techadvisor.com/article/723267/;https://www.tomsguide.com/us/irobot-roomba-i7-plus,review-6080.html",2026-08-13,"praised in 2 sources per batch2; official page retired, so kept out of spec sheet, pros only",yes
brushes,dual rubber brush rolls resist hair tangling,review_consensus,"https://www.techadvisor.com/article/723267/;https://www.tomsguide.com/us/irobot-roomba-i7-plus,review-6080.html",2026-08-13,praised in 2 sources per batch2,yes
noise_con,measured 65 to 68 decibels running; the self-empty cycle is louder,review_consensus,"https://www.techadvisor.com/article/723267/;https://www.tomsguide.com/us/irobot-roomba-i7-plus,review-6080.html",2026-08-13,con; spec claims 58 dB vs 65-68 measured; discrepancy recorded; noise kept out of spec sheet,yes
base_noise_con,Clean Base emptying cycle very loud,review_consensus,"https://www.techadvisor.com/article/723267/;https://www.tomsguide.com/us/irobot-roomba-i7-plus,review-6080.html",2026-08-13,con,yes
carpet_con,suction leaves ground-in dirt in carpet pile after a pass,review_consensus,"https://www.trustedreviews.com/reviews/irobot-roomba-i7;https://www.tomsguide.com/us/irobot-roomba-i7-plus,review-6080.html",2026-08-13,con,yes
bump_con,bumper-led navigation contacts furniture legs rather than easing around them,review_consensus,"https://www.techadvisor.com/article/723267/;https://www.tomsguide.com/us/irobot-roomba-i7-plus,review-6080.html",2026-08-13,con,yes
bags_con,Clean Base uses proprietary disposal bags (consumable),review_consensus,https://www.techadvisor.com/article/723267/;https://www.trustedreviews.com/reviews/irobot-roomba-i7,2026-08-13,"con; batch also flags price, omitted per no-price rule",yes
room_select,single rooms can be cleaned on request,official,https://store.irobot.com/default/roomba-vacuuming-robot-vacuum-irobot-roomba-i7-plus/i755020.html,2026-08-13,"room targeting praised in 3 review sources per batch2; official page retired, archived store listing",yes
dock_return,robot returns to the dock on its own and resumes the job,official,https://store.irobot.com/default/roomba-vacuuming-robot-vacuum-irobot-roomba-i7-plus/i755020.html,2026-08-13,archived store listing; official product page retired,yes
accessories,"Clean Base, starter disposal bags, spare filter, side brush",official,https://store.irobot.com/default/roomba-vacuuming-robot-vacuum-irobot-roomba-i7-plus/i755020.html,2026-08-13,archived store listing; official product page retired,yes
floors,hard floors and carpet in one run with no change of setting,official,https://www.manua.ls/irobot/roomba-i7/specifications,2026-08-13,official manual mirror,yes
wifi,joins a 2.4 GHz Wi-Fi network; run map appears in the app,official,https://www.manua.ls/irobot/roomba-i7/specifications,2026-08-13,official manual mirror,yes
