field,value,source_type,source_url,accessed_date,note
display,"6 inch E Ink Carta 1200 touchscreen, 1448 x 1072, 300 ppi",official,https://gl.kobobooks.com/products/kobo-clara-2e,2026-08-13,
frontlight,ComfortLight PRO with adjustable brightness and color temperature,official,https://gl.kobobooks.com/products/kobo-clara-2e,2026-08-13,
darkmode,dark mode invert option,official,https://gl.kobobooks.com/products/kobo-clara-2e,2026-08-13,
dimensions,112.05 x 159.02 x 8.66 mm,official,https://gl.kobobooks.com/products/kobo-clara-2e,2026-08-13,
weight,171 g,official,https://gl.kobobooks.com/products/kobo-clara-2e,2026-08-13,
storage,"16 GB, holding up to 12,000 titles",official,https://gl.kobobooks.com/products/kobo-clara-2e,2026-08-13,
processor,1.0 GHz processor,official,https://gl.kobobooks.com/products/kobo-clara-2e,2026-08-13,
connectivity,"dual-band Wi-Fi, Bluetooth, USB-C",official,https://gl.kobobooks.com/products/kobo-clara-2e,2026-08-13,
waterproof,"IPX8, up to 60 minutes in 2 metres of water",official,https://gl.kobobooks.com/products/kobo-clara-2e,2026-08-13,
materials,exterior over 85 percent recycled plastic including ocean-bound plastic,official,https://us.kobobooks.com/products/kobo-clara-2e,2026-08-13,
battery,"weeks of use per charge, no capacity stated",official,https://us.kobobooks.com/products/kobo-clara-2e,2026-08-13,
formats,fifteen native formats plus audiobooks over Bluetooth,official,https://gl.kobobooks.com/products/kobo-clara-2e,2026-08-13,
library,OverDrive library borrowing built in where available,official,https://us.kobobooks.com/products/kobo-clara-2e,2026-08-13,
slow_ui,menus and page turns lag behind competing readers,review_consensus,https://www.techadvisor.com/article/1364904/kobo-clara-2e-review.html;https://www.reviewed.com/tech/content/kobo-clara-e2-review,2026-08-13,con
uneven_light,front light shows darker patches near the lower edge,review_consensus,https://blog.the-ebook-reader.com/2022/10/10/kobo-clara-2e-review-and-video-walkthrough/;https://www.reviewed.com/tech/content/kobo-clara-e2-review,2026-08-13,con
recessed,screen sits recessed rather than flush with the bezel,review_consensus,https://blog.the-ebook-reader.com/2022/10/10/kobo-clara-2e-review-and-video-walkthrough/;https://www.techadvisor.com/article/1364904/kobo-clara-2e-review.html,2026-08-13,con
sharp_screen,300 ppi text sharp at reading distance,review_consensus,https://www.techadvisor.com/article/1364904/kobo-clara-2e-review.html;https://www.reviewed.com/tech/content/kobo-clara-e2-review;https://blog.the-ebook-reader.com/2022/10/10/kobo-clara-2e-review-and-video-walkthrough/,2026-08-13,
warmth_praise,color temperature adjustment useful at night,review_consensus,https://www.techadvisor.com/article/1364904/kobo-clara-2e-review.html;https://www.reviewed.com/tech/content/kobo-clara-e2-review;https://blog.the-ebook-reader.com/2022/10/10/kobo-clara-2e-review-and-video-walkthrough/,2026-08-13,
portable,light enough for one-handed reading,review_consensus,https://www.reviewed.com/tech/content/kobo-clara-e2-review;https://blog.the-ebook-reader.com/2022/10/10/kobo-clara-2e-review-and-video-walkthrough/,2026-08-13,
